id,name,type,sex,age,party,representation,position,state
Kreuzberg,Michael Kreuzberg,0,1,5,1,2,2,10
Priggen,Reiner Priggen,0,1,5,4,2,2,10
LEENRW,Landesverband Erneuerbare Energien NRW,1,99,99,99,99,99,99
Vassiliadis,Michael Vassiliadis,0,1,4,3,3,2,99
"IGBCE,""Industriegewerkschaft Bergbau, Chemie, Energie"",1,99,99,99,3,99,99"
Scheidt,Andreas Scheidt,0,1,4,3,3,2,10
Verdi,Dienstleistungsgewerkschaft Verdi,1,99,99,99,99,99,99
Eon,Energiekonzern Eon,1,99,99,99,99,99,99
Körzell,Stefan Körzell,0,1,4,3,3,2,7
DGB,Deutscher Gewerkschaftsbund,1,99,99,99,99,99,99
Kaiser,Martin Kaiser,0,1,4,99,4,2,99
Greenpeace,Greenpeace,1,99,99,99,99,99,99
Weiger,Hubert Weiger,0,1,5,99,4,2,99
BUND,Bund für Umwelt und Naturschutz Deutschland,1,99,99,99,99,99,99
RfNE,Rat für Nachhaltige Entwicklung,1,99,99,99,99,99,99
Niebert,Kai Niebert,0,1,2,99,4,2,99
DNR,Dachverband Deutscher Naturschutzring,1,99,99,99,99,99,99
NaturfreundeDE,Naturfreunde Deutschland,1,99,99,99,99,99,99
UniZuerich,Universität Zürich,1,99,99,99,99,99,99
Allmendinger,Jutta Allmendinger,0,2,5,99,6,2,3
WZB,Wissenschaftszentrum Berlin für Sozialforschung,1,99,99,99,99,99,99
HumboldtUni,Berliner Humboldt-Universität,1,99,99,99,99,99,99
DGfS,Deutsche Gesellschaft für Soziologie,1,99,99,99,99,99,99
Schönefeld,Christiane Schönefeld,0,2,99,99,2,2,10
Arbeitsagentur,Bundesagentur für Arbeit,1,99,99,99,99,99,99
Matthes,Felix Matthes,0,1,4,99,6,2,3
OekoInstitut,Öko-Institut,1,99,99,99,99,99,99
Schellnhuber,Hans Joachim Schellnhuber,0,1,5,99,6,2,4
PotsdamInstitut,Potsdam-Institut für Klimafolgenforschung,1,99,99,99,99,99,99
UniPotsdam,Universität Potsdam,1,99,99,99,99,99,99
SRC,Stockholm Resilience Centre,1,99,99,99,99,99,99
WBGU,Wissenschaftlichen Beirat der Bundesregierung für Globale Umweltveränderungen,1,99,99,99,99,99,99
IPCC,Weltklimarat IPCC,1,99,99,99,99,99,99
Niebuhr,Annekathrin Niebuhr,0,2,99,99,6,2,15
UniKiel,Uni Kiel,1,99,99,99,99,99,99
Wehrspohn,Ralf Wehrspohn,0,1,3,99,6,2,14
FraunhoferHalle,Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen in Halle an der Saale,1,99,99,99,99,99,99
MarinLutherUni,Martin-Luther-Universität Halle,1,99,99,99,99,99,99
Lämmel,Andreas Lämmel,0,1,1,4,1,3,13
AfWuE,Ausschuss für Wirtschaft und Energie,1,99,99,99,99,99,99
PKM,Parlamentskreis Mittelstand,1,99,99,99,99,99,99
Lenz,Andreas Lenz,0,1,2,2,1,3,2
PBfnE,Parlamentarische Beirat für nachhaltige Entwicklung,1,99,99,99,99,99,99
Miersch,Matthias Miersch,0,1,3,3,1,3,9
